datetime,pm25,pm10,o3,so2,no2,co
2013-01-01,,,,,,
2013-01-02,,,,,,
2013-01-03,,,,,,
2013-01-04,,,,,,
2013-01-05,,,,,,
2013-01-06,,,,,,
2013-01-07,,,,,,
2013-01-08,,,,,,
2013-01-09,,,,,,
2013-01-10,,,,,,
2013-01-11,,,,,,
2013-01-12,,,,,,
2013-01-13,,,,,,
2013-01-14,,,,,,
2013-01-15,,,,,,
2013-01-16,,,,,,
2013-01-17,19.333333333333332,23.333333333333332,5.810397553516819,43.7308868501529,84.40366972477064,1.437308868501529
2013-01-18,153.66666666666666,185.66666666666666,7.6452599388379205,74.6177370030581,100.61162079510702,4.096941896024465
2013-01-19,178.66666666666666,193.33333333333334,7.339449541284403,84.70948012232415,110.09174311926604,4.892660550458715
2013-01-20,52.333333333333336,62.333333333333336,11.620795107033638,22.32415902140673,65.74923547400611,2.0792048929663607
2013-01-21,160.66666666666666,64.0,5.810397553516819,69.72477064220182,88.37920489296636,3.424770642201835
2013-01-22,38.0,88.0,7.339449541284403,51.07033639143731,85.01529051987767,1.4067278287461773
2013-01-23,351.0,370.3333333333333,7.339449541284403,95.10703363914372,134.25076452599387,5.749235474006116
2013-01-24,12.333333333333334,172.0,30.886850152905197,12.844036697247704,48.318042813455655,0.39755351681957185
2013-01-25,58.666666666666664,69.0,6.116207951070336,57.18654434250764,74.31192660550458,2.0792048929663607
2013-01-26,137.33333333333334,148.33333333333334,7.951070336391436,68.19571865443424,83.18042813455656,4.342201834862386
2013-01-27,246.33333333333334,249.66666666666666,9.480122324159021,62.079510703363916,98.77675840978593,6.207645259938837
2013-01-28,302.3333333333333,303.0,7.339449541284403,85.32110091743118,96.63608562691131,5.4737003058103975
2013-01-29,401.3333333333333,425.0,10.703363914373087,51.07033639143731,115.29051987767583,7.125076452599387
2013-01-30,226.66666666666666,246.0,7.339449541284403,151.98776758409784,126.60550458715595,5.840672782874617
2013-01-31,178.33333333333334,192.33333333333334,6.727828746177369,137.92048929663608,116.20795107033638,4.770030581039755
2013-02-01,15.666666666666666,60.333333333333336,40.67278287461773,27.52293577981651,32.11009174311926,0.6116207951070335
2013-02-02,13.0,17.0,22.01834862385321,38.532110091743114,51.987767584097845,0.5810397553516818
2013-02-03,112.0,127.0,3.058103975535168,64.22018348623853,74.6177370030581,2.4767584097859325
2013-02-04,10.666666666666666,21.0,39.14373088685014,26.911314984709477,36.3914373088685,0.4281345565749235
2013-02-05,50.333333333333336,57.0,27.217125382262992,29.357798165137613,46.17737003058104,0.856269113149847
2013-02-06,189.0,57.0,5.198776758409786,41.896024464831804,89.2966360856269,3.730275229357798
2013-02-07,8.0,10.333333333333334,50.15290519877675,16.513761467889907,26.299694189602445,0.48929663608562685
2013-02-08,10.666666666666666,24.0,42.20183486238532,28.44036697247706,33.944954128440365,0.5810397553516818
2013-02-09,133.33333333333334,111.33333333333333,5.504587155963303,94.18960244648316,85.32110091743118,2.8437308868501527
2013-02-10,10.333333333333334,18.333333333333332,55.657492354740064,18.654434250764524,26.605504587155963,0.4281345565749235
2013-02-11,31.333333333333332,46.0,23.853211009174313,37.61467889908257,47.400611620795104,1.0091743119266054
2013-02-12,115.33333333333333,123.33333333333333,5.810397553516819,49.54128440366972,79.20489296636084,2.5070336391437307
2013-02-13,259.0,264.0,5.810397553516819,26.299694189602445,69.41896024464832,3.6993883792048927
2013-02-14,14.0,78.0,64.22018348623853,12.232415902140673,16.20795107033639,0.2752293577981651
2013-02-15,10.333333333333334,9.666666666666666,28.74617737003058,37.920489296636084,49.2354740061162,0.5504587155963302
2013-02-16,63.333333333333336,68.0,4.281345565749235,60.85626911314984,71.86544342507645,2.965749235474006
2013-02-17,232.66666666666666,191.0,3.975535168195718,60.244648318042806,79.81651376146787,3.546788990825688
2013-02-18,8.666666666666666,14.333333333333334,47.09480122324158,21.10091743119266,32.11009174311926,0.39755351681957185
2013-02-19,10.0,19.0,46.788990825688074,18.04281345565749,30.275229357798164,0.48929663608562685
2013-02-20,67.0,72.66666666666667,3.975535168195718,38.83792048929663,70.64220183486238,2.6908256880733945
2013-02-21,124.66666666666667,130.0,3.058103975535168,59.02140672782874,62.38532110091742,2.4464831804281344
2013-02-22,124.66666666666667,120.0,26.299694189602445,32.72171253822629,63.60856269113149,1.4675840978593273
2013-02-23,61.0,75.33333333333333,5.504587155963303,58.715596330275226,79.81651376146789,1.7122324159021405
2013-02-24,215.33333333333334,221.33333333333334,5.810397553516819,77.67584097859327,105.50458715596329,4.43394495412844
2013-02-25,163.33333333333334,175.33333333333334,2.7522935779816513,120.79510703363913,84.40366972477064,3.6388379204892964
2013-02-26,135.0,150.33333333333334,4.89296636085627,72.17125382262996,88.37920489296636,4.525382262996942
2013-02-27,360.0,388.3333333333333,5.810397553516819,60.85626911314984,129.3577981651376,6.146177370030581
2013-02-28,481.0,506.6666666666667,2.4464831804281344,55.96330275229357,101.22324159021406,4.005504587155963
2013-03-01,3.3333333333333335,6.333333333333333,47.706422018348626,12.844036697247704,38.532110091743114,0.3363914373088685
2013-03-02,3.0,6.333333333333333,33.63914373088685,23.54740061162079,51.376146788990816,0.4587155963302752
2013-03-03,119.33333333333333,127.0,5.198776758409786,74.92354740061161,96.02446483180427,2.996636085626912
2013-03-04,8.333333333333334,16.666666666666668,28.134556574923547,18.34862385321101,56.88073394495412,0.5198776758409785
2013-03-05,120.66666666666667,135.0,4.89296636085627,60.244648318042806,94.4954128440367,2.996636085626911
2013-03-06,152.0,173.0,4.281345565749235,89.60244648318042,118.65443425076451,2.2318042813455654
